smiles,FPK
Br/C=C/c1ccccc1,352.15
c1ccc(cc1)/C=C/Br,352.15
c1cc(ccc1)/C=C/Br,352.15
c1ccc(cc1)/C=C/Br,352.15
c1c(cccc1)/C=C/Br,352.15
C(\c1ccccc1)=C/Br,352.15
c1ccccc1/C=C/Br,352.15
c1cccc(/C=C/Br)c1,352.15
Br/C=C/c1ccccc1,352.15
c1(ccccc1)/C=C/Br,352.15
BrC(Br)(Br)c1ccc2ccccc2n1,448.05
c1cc2c(cc1)ccc(n2)C(Br)(Br)Br,448.05
C(Br)(Br)(Br)c1ccc2c(n1)cccc2,448.05
BrC(c1ccc2c(n1)cccc2)(Br)Br,448.05
c12ccc(nc1cccc2)C(Br)(Br)Br,448.05
C(c1ccc2ccccc2n1)(Br)(Br)Br,448.05
c1cc2ccccc2nc1C(Br)(Br)Br,448.05
c1cccc2c1ccc(C(Br)(Br)Br)n2,448.05
BrC(Br)(c1nc2c(cccc2)cc1)Br,448.05
BrC(c1nc2ccccc2cc1)(Br)Br,448.05
BrC(Br)Br,356.0
BrC(Br)Br,356.0
BrC(Br)Br,356.0
BrC(Br)Br,356.0
BrC(Br)Br,356.0
C(Br)(Br)Br,356.0
BrC(Br)Br,356.0
C(Br)(Br)Br,356.0
BrC(Br)Br,356.0
C(Br)(Br)Br,356.0
BrC1CCCC1,308.075
BrC1CCCC1,308.075
C1C(CCC1)Br,308.075
C1CC(CC1)Br,308.075
BrC1CCCC1,308.075
BrC1CCCC1,308.075
C1(Br)CCCC1,308.075
BrC1CCCC1,308.075
C1C(CCC1)Br,308.075
C1CC(Br)CC1,308.075
BrC1CCCCC1,335.475
C1(Br)CCCCC1,335.475
C1(CCCCC1)Br,335.475
C1CCC(CC1)Br,335.475
C1C(Br)CCCC1,335.475
C1(CCCCC1)Br,335.475
C1CCC(Br)CC1,335.475
C1C(Br)CCCC1,335.475
C1CC(Br)CCC1,335.475
C1(CCCCC1)Br,335.475
BrC=C(Br)Br,329.15
BrC=C(Br)Br,329.15
BrC(Br)=CBr,329.15
BrC=C(Br)Br,329.15
BrC(=CBr)Br,329.15
C(Br)(Br)=CBr,329.15
BrC=C(Br)Br,329.15
C(=C(Br)Br)Br,329.15
BrC(Br)=CBr,329.15
BrC(Br)=CBr,329.15
BrC=Cc1ccccc1,374.85
C(=CBr)c1ccccc1,374.85
C(=CBr)c1ccccc1,374.85
c1cccc(c1)C=CBr,374.85
c1cc(ccc1)C=CBr,374.85
C(=CBr)c1ccccc1,374.85
BrC=Cc1ccccc1,374.85
c1c(cccc1)C=CBr,374.85
c1(ccccc1)C=CBr,374.85
c1cccc(c1)C=CBr,374.85
BrCC(Br)Br,340.75
BrCC(Br)Br,340.75
C(CBr)(Br)Br,340.75
BrC(CBr)Br,340.75
BrC(Br)CBr,340.75
BrC(CBr)Br,340.75
BrC(CBr)Br,340.75
C(CBr)(Br)Br,340.75
C(Br)C(Br)Br,340.75
BrC(Br)CBr,340.75
BrCC(Br)C1CCC(Br)C(Br)C1,446.45
BrC1CCC(CC1Br)C(Br)CBr,446.45
C1C(Br)C(Br)CCC1C(CBr)Br,446.45
C(C1CCC(Br)C(C1)Br)(CBr)Br,446.45
C1C(Br)C(CCC1C(CBr)Br)Br,446.45
BrC(CBr)C1CCC(Br)C(Br)C1,446.45
C1(Br)CC(C(Br)CBr)CCC1Br,446.45
C(Br)(C1CCC(C(Br)C1)Br)CBr,446.45
C1C(C(Br)CC(C(Br)CBr)C1)Br,446.45
BrC(CBr)C1CCC(C(Br)C1)Br,446.45
BrCC(Br)CBr,366.15
C(Br)(CBr)CBr,366.15
C(C(CBr)Br)Br,366.15
BrC(CBr)CBr,366.15
BrC(CBr)CBr,366.15
BrCC(CBr)Br,366.15
BrCC(CBr)Br,366.15
BrCC(CBr)Br,366.15
C(CBr)(Br)CBr,366.15
BrC(CBr)CBr,366.15
BrCC(Br)c1ccccc1,389.65
C(C(Br)c1ccccc1)Br,389.65
c1ccccc1C(CBr)Br,389.65
c1(ccccc1)C(CBr)Br,389.65
c1ccccc1C(CBr)Br,389.65
BrCC(c1ccccc1)Br,389.65
c1(ccccc1)C(Br)CBr,389.65
BrCC(c1ccccc1)Br,389.65
c1cccc(c1)C(Br)CBr,389.65
C(c1ccccc1)(CBr)Br,389.65
BrCC(CBr)(CBr)CBr,425.65
C(C(CBr)(CBr)CBr)Br,425.65
C(CBr)(CBr)(CBr)CBr,425.65
C(C(CBr)(CBr)CBr)Br,425.65
C(C(CBr)(CBr)CBr)Br,425.65
C(Br)C(CBr)(CBr)CBr,425.65
C(C(CBr)(CBr)CBr)Br,425.65
C(Br)C(CBr)(CBr)CBr,425.65
BrCC(CBr)(CBr)CBr,425.65
C(Br)C(CBr)(CBr)CBr,425.65
BrCC1CCCCO1,338.15
BrCC1OCCCC1,338.15
C1CCCC(O1)CBr,338.15
C1OC(CBr)CCC1,338.15
C(C1CCCCO1)Br,338.15
BrCC1OCCCC1,338.15
C1CCOC(CBr)C1,338.15
